txn_id,customer_id,account_type,txn_type,amount,balance,txn_date,branch
88,CUST1036,Current,Withdrawal,39934.93,105106.34,2023-05-22,Delhi
89,CUST1460,Savings,Withdrawal,44342.2,47590.07,2023-12-20,Pune
90,CUST1322,Savings,Deposit,21979.86,89346.46,2023-02-20,Delhi
91,CUST1153,Savings,Deposit,7836.58,106029.75,2023-05-30,Pune
92,CUST1314,Current,Deposit,43034.19,68434.2,2023-06-19,Mumbai
93,CUST1326,Current,Transfer,15232.95,69172.65,2023-04-11,Delhi
94,CUST1481,Current,Deposit,41410.66,68929.18,2023-04-18,Delhi
95,CUST1005,Loan,Transfer,22917.53,107198.83,2023-12-16,Delhi
96,CUST1047,Loan,Withdrawal,35005.66,49271.79,2023-05-24,Pune
97,CUST1269,Current,Transfer,48479.89,120082.1,2023-05-27,Delhi
98,CUST1145,Current,Transfer,20001.16,63636.47,2023-02-27,Chennai
99,CUST1439,Savings,Deposit,12617.94,31459.14,2023-11-14,Pune
100,CUST1279,Loan,Deposit,21472.89,90478.63,2023-05-09,Chennai
101,CUST1058,Savings,Transfer,45769.17,90283.22,2023-04-06,Pune
102,CUST1126,Current,Deposit,4784.28,23479.45,2023-08-25,Chennai
103,CUST1373,Savings,Deposit,31949.7,83860.98,2023-07-11,Mumbai
104,CUST1447,Loan,Deposit,21840.08,94978.99,2023-03-17,Chennai
105,CUST1154,Savings,Transfer,17863.04,93768.73,2023-07-04,Chennai
106,CUST1285,Loan,Transfer,5892.02,10969.28,2023-04-04,Pune
107,CUST1238,Current,Transfer,48977.58,66922.94,2023-08-06,Pune
108,CUST1474,Loan,Deposit,24631.63,72242.07,2023-10-16,Bangalore
109,CUST1254,Current,Deposit,21749.2,61900.42,2023-01-10,Delhi
110,CUST1246,Loan,Withdrawal,31791.17,36798.92,2023-08-11,Bangalore
111,CUST1394,Loan,Transfer,31330.41,81892.47,2023-09-14,Chennai
112,CUST1325,Savings,Transfer,34229.79,96006.98,2023-12-02,Delhi
113,CUST1247,Savings,Withdrawal,47218.15,134004.44,2023-06-09,Bangalore
114,CUST1475,Current,Deposit,40067.37,107945.62,2023-06-12,Pune
115,CUST1380,Current,Deposit,6512.17,87726.99,2023-04-11,Pune
116,CUST1268,Savings,Transfer,19366.52,115504.98,2023-11-26,Bangalore
117,CUST1043,Loan,Withdrawal,9869.98,17271.43,2023-04-05,Pune
118,CUST1302,Loan,Deposit,1009.27,10906.34,2023-02-04,Mumbai
119,CUST1215,Savings,Deposit,3652.31,35890.39,2023-03-31,Delhi
120,CUST1418,Current,Deposit,13108.66,62964.39,2023-11-10,Delhi
121,CUST1114,Savings,Transfer,31484.25,119292.72,2023-08-05,Delhi
122,CUST1277,Current,Deposit,48382.27,103405.47,2023-12-23,Bangalore
123,CUST1457,Savings,Withdrawal,28469.16,86273.66,2023-04-09,Pune
124,CUST1496,Current,Transfer,6471.72,31848.36,2023-04-06,Mumbai
125,CUST1152,Current,Deposit,43369.12,99774.86,2023-09-25,Delhi
126,CUST1369,Savings,Transfer,34024.25,108145.17,2023-12-21,Chennai
127,CUST1361,Loan,Transfer,18948.67,72614.25,2023-03-25,Chennai
128,CUST1368,Current,Deposit,19541.94,49656.64,2023-01-19,Pune
129,CUST1177,Current,Deposit,2768.92,98643.8,2023-03-17,Bangalore
130,CUST1265,Loan,Deposit,16033.75,111064.92,2023-02-21,Pune
131,CUST1339,Current,Transfer,24701.98,33488.78,2023-03-10,Pune
132,CUST1099,Loan,Withdrawal,30161.8,85755.25,2023-02-22,Delhi
133,CUST1151,Loan,Withdrawal,39086.67,50876.4,2023-06-30,Bangalore
134,CUST1042,Savings,Deposit,48714.99,148310.15,2023-05-02,Mumbai
135,CUST1133,Loan,Withdrawal,36878.07,91696.69,2023-11-27,Delhi
136,CUST1146,Current,Withdrawal,48435.73,117394.72,2023-09-10,Bangalore
137,CUST1230,Savings,Transfer,4296.93,74543.36,2023-06-19,Pune
138,CUST1393,Current,Deposit,41110.82,111881.92,2023-01-05,Chennai
139,CUST1029,Savings,Transfer,4333.4,103004.04,2023-12-31,Chennai
140,CUST1321,Savings,Withdrawal,44029.96,68080.14,2023-11-23,Mumbai
141,CUST1217,Current,Withdrawal,29635.25,64981.97,2023-09-09,Pune
142,CUST1415,Loan,Deposit,24135.18,62244.95,2023-06-16,Delhi
143,CUST1091,Loan,Transfer,12511.34,45871.47,2023-05-06,Pune
144,CUST1451,Current,Deposit,12758.74,53576.35,2023-05-06,Chennai
145,CUST1058,Loan,Withdrawal,37074.6,113910.49,2023-12-27,Chennai
146,CUST1423,Loan,Deposit,37327.64,95872.83,2023-07-09,Delhi
147,CUST1191,Loan,Withdrawal,23937.97,32685.66,2023-04-27,Mumbai
148,CUST1134,Savings,Deposit,40125.25,137926.37,2023-06-22,Delhi
149,CUST1317,Loan,Withdrawal,16202.05,21020.43,2023-08-01,Delhi
150,CUST1203,Current,Deposit,45963.87,71636.39,2023-05-27,Bangalore
151,CUST1020,Loan,Transfer,3864.18,20902.62,2023-11-01,Delhi
152,CUST1014,Current,Withdrawal,14795.25,114380.47,2023-02-23,Bangalore
153,CUST1374,Current,Deposit,19271.67,93113.19,2023-01-12,Bangalore
154,CUST1330,Current,Deposit,47525.53,136606.78,2023-06-05,Delhi
155,CUST1373,Loan,Withdrawal,13941.32,33159.38,2023-03-31,Chennai
156,CUST1136,Loan,Transfer,17732.28,76306.06,2023-08-08,Delhi
157,CUST1357,Savings,Withdrawal,48722.3,147350.27,2023-05-25,Pune
158,CUST1201,Current,Deposit,15545.43,97018.03,2023-08-08,Pune
159,CUST1240,Current,Transfer,8214.59,99351.84,2023-09-10,Delhi
160,CUST1390,Loan,Withdrawal,47495.02,120204.11,2023-10-30,Bangalore
161,CUST1409,Savings,Transfer,20970.33,114276.81,2023-08-30,Bangalore
162,CUST1251,Current,Withdrawal,2356.41,5479.92,2023-10-16,Delhi
163,CUST1374,Current,Deposit,40546.61,139280.58,2023-06-26,Delhi
164,CUST1267,Savings,Deposit,29747.12,68145.76,2023-12-08,Mumbai
165,CUST1315,Current,Deposit,42121.73,126035.44,2023-04-08,Chennai
166,CUST1105,Loan,Transfer,20799.49,48503.49,2023-11-07,Pune
167,CUST1006,Savings,Withdrawal,34616.55,88284.0,2023-05-13,Chennai
168,CUST1358,Savings,Withdrawal,45666.97,104389.35,2023-02-22,Bangalore
169,CUST1165,Savings,Transfer,37878.35,75974.48,2023-03-26,Bangalore
170,CUST1078,Loan,Transfer,10331.76,35850.28,2023-06-22,Mumbai
171,CUST1205,Current,Withdrawal,10440.66,98323.62,2023-10-15,Pune
172,CUST1034,Savings,Transfer,17972.32,29771.3,2023-06-03,Mumbai
173,CUST1250,Current,Deposit,26063.35,103409.03,2023-11-02,Bangalore
174,CUST1268,Loan,Transfer,40837.65,137651.04,2023-08-10,Delhi
175,CUST1251,Current,Deposit,20233.8,34068.32,2023-10-30,Mumbai
176,CUST1407,Savings,Withdrawal,37781.35,100002.15,2023-03-07,Pune
177,CUST1075,Loan,Deposit,10726.91,24795.87,2023-09-09,Delhi
178,CUST1226,Savings,Withdrawal,17594.32,76791.13,2023-10-13,Pune
179,CUST1335,Savings,Withdrawal,21930.0,112393.79,2023-11-04,Bangalore
180,CUST1249,Savings,Deposit,25748.08,104221.55,2023-01-30,Bangalore
181,CUST1247,Current,Deposit,26227.75,96143.12,2023-10-12,Pune
182,CUST1388,Loan,Transfer,23021.41,107309.51,2023-09-30,Pune
183,CUST1340,Savings,Withdrawal,23010.87,121024.11,2023-02-22,Delhi
184,CUST1450,Loan,Transfer,16504.71,80028.1,2023-08-28,Pune
185,CUST1459,Loan,Deposit,3885.58,17209.11,2023-07-02,Chennai
186,CUST1336,Current,Transfer,7679.94,21993.24,2023-01-08,Mumbai
187,CUST1388,Loan,Deposit,9175.82,44069.71,2023-07-14,Delhi
188,CUST1352,Loan,Transfer,23750.69,90672.68,2023-03-02,Bangalore
189,CUST1122,Savings,Deposit,11270.07,93538.24,2023-04-02,Delhi
190,CUST1170,Current,Withdrawal,8932.82,18258.72,2023-01-01,Chennai
191,CUST1133,Current,Withdrawal,23092.86,44123.06,2023-02-03,Delhi
192,CUST1433,Loan,Deposit,25220.52,94414.81,2023-03-14,Mumbai
193,CUST1282,Savings,Transfer,39990.58,102966.67,2023-08-27,Bangalore
194,CUST1056,Loan,Transfer,43691.57,135818.37,2023-03-02,Delhi
195,CUST1337,Savings,Withdrawal,13916.19,94633.22,2023-04-23,Delhi
196,CUST1355,Loan,Withdrawal,9307.6,30637.86,2023-05-07,Delhi
197,CUST1056,Current,Deposit,24277.7,86294.05,2023-03-19,Delhi
198,CUST1216,Current,Deposit,36053.75,42756.72,2023-07-06,Bangalore
199,CUST1312,Savings,Withdrawal,6742.53,75615.5,2023-08-26,Mumbai
200,CUST1363,Current,Withdrawal,26652.46,37816.08,2023-10-21,Pune
201,CUST1227,Loan,Transfer,19918.48,30852.96,2023-04-29,Bangalore
202,CUST1485,Loan,Deposit,9195.97,65810.5,2023-09-30,Mumbai
203,CUST1231,Current,Withdrawal,4551.3,58317.19,2023-01-25,Pune
204,CUST1145,Savings,Transfer,17212.05,64872.06,2023-03-08,Delhi
205,CUST1233,Savings,Transfer,24972.27,34120.84,2023-04-21,Bangalore
206,CUST1470,Current,Deposit,29383.37,104054.6,2023-08-24,Delhi
207,CUST1083,Savings,Transfer,19000.75,53076.71,2023-06-29,Pune
208,CUST1282,Loan,Withdrawal,30417.01,55230.15,2023-11-11,Bangalore
209,CUST1365,Savings,Withdrawal,16584.39,109986.73,2023-05-30,Delhi
210,CUST1277,Loan,Withdrawal,7727.67,32700.46,2023-01-04,Pune
211,CUST1350,Current,Deposit,9409.69,38276.66,2023-04-05,Pune
212,CUST1152,Loan,Deposit,44848.59,53331.85,2023-08-31,Pune
213,CUST1031,Loan,Withdrawal,20578.8,118825.47,2023-08-11,Pune
214,CUST1006,Loan,Transfer,19952.99,116915.3,2023-01-04,Bangalore
215,CUST1335,Current,Transfer,40871.9,67033.23,2023-03-03,Delhi
216,CUST1441,Current,Withdrawal,35951.02,89687.17,2023-01-26,Pune
217,CUST1435,Loan,Transfer,41945.27,62850.49,2023-04-28,Pune
218,CUST1324,Loan,Transfer,21329.28,72336.51,2023-04-23,Chennai
219,CUST1140,Loan,Withdrawal,5830.36,67087.05,2023-11-16,Pune
220,CUST1038,Loan,Deposit,29103.79,44962.88,2023-12-22,Delhi
221,CUST1333,Current,Transfer,26676.21,32332.65,2023-06-27,Delhi
222,CUST1010,Loan,Transfer,27475.3,82593.04,2023-01-13,Chennai
223,CUST1168,Loan,Withdrawal,40512.73,66349.48,2023-04-11,Pune
224,CUST1329,Savings,Deposit,38035.37,97801.42,2023-02-07,Mumbai
225,CUST1419,Savings,Transfer,17508.53,110496.68,2023-11-14,Mumbai
226,CUST1444,Loan,Transfer,48254.84,61122.41,2023-05-17,Mumbai
227,CUST1418,Current,Transfer,9143.53,16259.91,2023-10-23,Mumbai
228,CUST1320,Current,Withdrawal,28766.21,113028.17,2023-11-24,Delhi
229,CUST1267,Current,Deposit,39783.84,60345.76,2023-10-13,Delhi
230,CUST1291,Savings,Withdrawal,8296.86,89847.04,2023-03-19,Delhi
231,CUST1410,Current,Transfer,45402.52,77364.08,2023-02-11,Bangalore
232,CUST1089,Loan,Withdrawal,34180.8,79649.69,2023-04-14,Bangalore
233,CUST1014,Loan,Transfer,44993.41,107591.51,2023-12-19,Bangalore
234,CUST1023,Loan,Transfer,21993.36,79953.24,2023-05-25,Pune
235,CUST1225,Savings,Withdrawal,19634.96,73054.78,2023-11-05,Pune
236,CUST1104,Current,Withdrawal,11528.37,66041.88,2023-07-17,Chennai
237,CUST1134,Savings,Withdrawal,16707.51,89897.15,2023-02-11,Chennai
238,CUST1448,Savings,Deposit,8419.86,96343.46,2023-10-16,Chennai
239,CUST1478,Savings,Transfer,44705.24,123670.66,2023-02-07,Mumbai
240,CUST1441,Current,Transfer,15654.93,40879.6,2023-10-16,Mumbai
241,CUST1254,Loan,Transfer,10306.78,81856.16,2023-01-05,Pune
242,CUST1123,Current,Transfer,37756.3,48496.45,2023-06-08,Mumbai
243,CUST1303,Loan,Withdrawal,42337.97,55523.09,2023-07-03,Bangalore
244,CUST1015,Loan,Transfer,39885.04,55301.82,2023-02-16,Delhi
245,CUST1324,Savings,Withdrawal,36140.4,108284.04,2023-04-05,Mumbai
246,CUST1115,Current,Transfer,34728.03,89229.11,2023-10-26,Bangalore
247,CUST1283,Savings,Deposit,17350.23,35919.2,2023-11-26,Delhi
248,CUST1360,Loan,Deposit,29211.25,69595.97,2023-10-30,Pune
249,CUST1346,Savings,Deposit,47369.44,63127.9,2023-05-21,Pune
250,CUST1104,Savings,Withdrawal,25343.85,86683.55,2023-04-21,Pune
251,CUST1104,Savings,Deposit,43618.98,136864.75,2023-12-22,Bangalore
252,CUST1496,Savings,Transfer,34862.88,127151.57,2023-11-24,Bangalore
253,CUST1127,Current,Deposit,7711.7,65552.39,2023-02-20,Chennai
254,CUST1029,Savings,Transfer,5301.92,89425.66,2023-09-24,Delhi
255,CUST1407,Current,Withdrawal,6228.26,30200.91,2023-12-12,Bangalore
256,CUST1110,Current,Withdrawal,9397.41,93227.74,2023-01-01,Mumbai
257,CUST1319,Current,Withdrawal,15641.07,38766.93,2023-05-29,Delhi
258,CUST1431,Savings,Deposit,2832.61,36684.74,2023-11-09,Mumbai
259,CUST1117,Savings,Withdrawal,30225.7,42095.3,2023-09-01,Pune
260,CUST1025,Loan,Deposit,43189.56,135524.1,2023-07-29,Pune
261,CUST1475,Loan,Deposit,36901.31,82397.0,2023-12-30,Bangalore
262,CUST1251,Savings,Transfer,7128.77,25179.28,2023-06-29,Pune
263,CUST1198,Savings,Transfer,1790.57,33282.15,2023-10-12,Delhi
264,CUST1063,Loan,Deposit,13951.6,36351.27,2023-02-18,Mumbai
265,CUST1455,Savings,Deposit,48779.51,94948.91,2023-05-28,Pune
266,CUST1118,Current,Withdrawal,43045.54,96784.98,2023-12-26,Delhi
267,CUST1049,Savings,Deposit,15049.84,46388.56,2023-08-03,Chennai
268,CUST1435,Savings,Transfer,10574.29,100430.69,2023-02-01,Bangalore
269,CUST1158,Current,Withdrawal,9615.32,13752.01,2023-10-13,Chennai
270,CUST1144,Savings,Withdrawal,28285.57,35323.58,2023-03-19,Mumbai
271,CUST1371,Current,Withdrawal,22719.11,75395.94,2023-04-23,Bangalore
272,CUST1114,Savings,Transfer,24900.9,101553.85,2023-05-12,Delhi
273,CUST1385,Loan,Withdrawal,16784.7,24797.28,2023-05-11,Bangalore
274,CUST1288,Loan,Transfer,13687.86,103482.19,2023-06-11,Delhi
275,CUST1380,Current,Deposit,40057.41,137961.09,2023-10-15,Chennai
276,CUST1178,Loan,Withdrawal,43362.99,84457.45,2023-11-09,Pune
277,CUST1247,Savings,Transfer,12769.04,32782.29,2023-09-12,Chennai
278,CUST1328,Current,Transfer,5295.02,85386.67,2023-03-08,Chennai
279,CUST1051,Savings,Transfer,32672.03,56871.22,2023-10-18,Chennai
280,CUST1096,Savings,Withdrawal,49437.57,109955.71,2023-10-29,Pune
281,CUST1491,Loan,Transfer,48136.2,142604.97,2023-07-01,Mumbai
282,CUST1469,Savings,Withdrawal,20378.98,53115.99,2023-01-07,Delhi
283,CUST1330,Savings,Withdrawal,4366.88,25551.56,2023-05-27,Bangalore
284,CUST1112,Current,Deposit,9153.63,67666.27,2023-07-07,Delhi
285,CUST1082,Savings,Transfer,44644.32,126479.95,2023-01-11,Pune
286,CUST1234,Current,Deposit,41272.86,77897.25,2023-04-29,Chennai
287,CUST1396,Current,Withdrawal,41549.66,76396.28,2023-09-13,Pune
288,CUST1222,Loan,Withdrawal,18201.62,104377.89,2023-12-21,Pune
289,CUST1342,Current,Deposit,39009.96,50876.63,2023-06-07,Mumbai
290,CUST1120,Savings,Deposit,49269.83,96640.84,2023-08-12,Pune
291,CUST1209,Loan,Transfer,24290.44,75779.98,2023-01-09,Delhi
292,CUST1040,Savings,Deposit,34972.41,75526.14,2023-07-20,Bangalore
293,CUST1246,Savings,Deposit,32288.2,74747.74,2023-06-03,Delhi
294,CUST1442,Current,Withdrawal,45038.56,114315.13,2023-10-20,Bangalore
295,CUST1075,Loan,Transfer,41146.94,94348.28,2023-02-11,Bangalore
296,CUST1356,Current,Deposit,24954.73,32138.68,2023-06-14,Mumbai
297,CUST1153,Current,Deposit,24923.5,97083.66,2023-04-27,Chennai
298,CUST1362,Current,Withdrawal,7086.93,33823.47,2023-10-14,Bangalore
299,CUST1134,Loan,Withdrawal,36636.01,62083.71,2023-08-25,Bangalore
300,CUST1309,Current,Withdrawal,8851.03,100335.02,2023-07-09,Bangalore
301,CUST1122,Loan,Deposit,21159.6,56869.8,2023-11-06,Chennai
302,CUST1363,Current,Transfer,9300.11,18788.64,2023-10-09,Mumbai
303,CUST1029,Savings,Withdrawal,19525.85,48750.88,2023-06-13,Pune
304,CUST1113,Loan,Withdrawal,36104.49,97339.75,2023-11-06,Delhi
305,CUST1098,Savings,Transfer,19892.8,115324.45,2023-03-10,Delhi
306,CUST1312,Loan,Withdrawal,10825.52,14428.24,2023-05-28,Bangalore
307,CUST1467,Savings,Transfer,29794.39,35411.26,2023-12-31,Bangalore
308,CUST1491,Current,Withdrawal,16778.77,93984.53,2023-03-14,Bangalore
309,CUST1201,Current,Withdrawal,17641.85,59214.81,2023-03-02,Mumbai
310,CUST1427,Savings,Deposit,29954.47,76192.78,2023-10-18,Mumbai
311,CUST1131,Savings,Transfer,3980.49,4713.26,2023-04-12,Pune
312,CUST1354,Savings,Withdrawal,5244.38,37046.74,2023-11-01,Pune
313,CUST1445,Current,Deposit,39521.68,108732.42,2023-10-30,Chennai
314,CUST1012,Current,Transfer,27140.86,114498.97,2023-09-21,Bangalore
315,CUST1479,Savings,Transfer,40347.4,106396.34,2023-07-17,Mumbai
316,CUST1200,Savings,Transfer,12558.43,61756.21,2023-05-23,Delhi
317,CUST1059,Loan,Withdrawal,49384.63,143818.53,2023-02-16,Chennai
318,CUST1288,Loan,Transfer,35308.2,127870.41,2023-10-09,Chennai
319,CUST1469,Loan,Transfer,23713.18,55342.24,2023-12-01,Bangalore
320,CUST1117,Loan,Withdrawal,36578.08,56241.68,2023-11-24,Pune
321,CUST1498,Current,Transfer,21145.96,100782.47,2023-08-11,Bangalore
322,CUST1478,Loan,Transfer,2838.64,48625.44,2023-04-13,Chennai
323,CUST1273,Loan,Transfer,32543.35,69330.73,2023-04-18,Chennai
324,CUST1188,Loan,Deposit,24104.99,112662.33,2023-06-20,Mumbai
325,CUST1424,Loan,Transfer,22107.5,62853.8,2023-02-08,Bangalore
326,CUST1015,Current,Withdrawal,40218.45,94289.4,2023-07-29,Bangalore
327,CUST1161,Current,Deposit,44310.29,106088.68,2023-11-07,Pune
328,CUST1227,Savings,Transfer,43517.93,46134.24,2023-09-04,Mumbai
329,CUST1269,Savings,Transfer,26493.96,120431.2,2023-08-15,Pune
330,CUST1379,Savings,Withdrawal,49896.91,85292.74,2023-11-14,Chennai
331,CUST1245,Loan,Withdrawal,24041.09,82326.43,2023-08-24,Delhi
332,CUST1239,Savings,Transfer,19974.54,29598.62,2023-12-25,Bangalore
333,CUST1340,Savings,Withdrawal,36905.36,61163.69,2023-01-03,Bangalore
334,CUST1429,Savings,Deposit,17795.65,46875.93,2023-11-20,Delhi
335,CUST1146,Current,Deposit,11757.03,16445.3,2023-07-12,Chennai
336,CUST1437,Loan,Deposit,49387.35,92450.78,2023-11-01,Delhi
337,CUST1377,Savings,Deposit,34014.4,56230.66,2023-10-20,Mumbai
338,CUST1061,Loan,Deposit,13023.23,72084.38,2023-10-22,Chennai
339,CUST1440,Loan,Transfer,44221.53,104500.98,2023-03-03,Chennai
340,CUST1333,Current,Transfer,49460.33,123923.94,2023-09-17,Pune
341,CUST1059,Savings,Transfer,20138.85,104002.51,2023-11-06,Delhi
342,CUST1373,Current,Deposit,41549.06,54022.77,2023-04-17,Chennai
343,CUST1226,Loan,Withdrawal,19266.12,23420.95,2023-09-16,Bangalore
344,CUST1376,Loan,Transfer,17571.25,23826.6,2023-02-16,Pune
345,CUST1215,Current,Withdrawal,44200.92,137012.27,2023-08-29,Delhi
346,CUST1061,Savings,Transfer,13085.65,64852.82,2023-12-04,Mumbai
347,CUST1062,Loan,Transfer,49817.16,139612.06,2023-08-15,Mumbai
348,CUST1486,Savings,Deposit,31184.58,106097.8,2023-03-30,Delhi
349,CUST1329,Savings,Deposit,44756.58,130839.2,2023-09-24,Mumbai
350,CUST1105,Savings,Withdrawal,19619.37,47278.83,2023-01-29,Chennai
351,CUST1137,Current,Deposit,2314.4,87607.66,2023-06-19,Chennai
352,CUST1009,Current,Withdrawal,16519.66,109712.81,2023-08-14,Chennai
